     MBA.cp7	MBA.cp4	MBA.cx2	MBA.cc2	MBA.cc4	MBA.cx1	MBA.cp3	MBA.cp6	MBA.cp5	MBA.cc6	MBA.cx4	MBA.cp2	MBA.cc3	MBA.cp1	MBA.cx3	MBA.cc5	MBA.cx5	MBA.cc1
100_g_at	6.96061763501728	6.80676391904487	7.00171701641464	6.73725530659615	6.98400845377335	6.86530599756586	6.87815625150528	6.82561752378174	6.99284145987098	6.89410952978741	6.81256841546609	6.84533336289896	6.9409453183079	6.81666480546651	6.74106560999772	6.84267646966819	6.84481873948033	6.77418533853011
1010_at	5.83176698742499	5.78589711165074	5.86915148967101	5.85968692398391	5.79184215549928	5.83676915909484	5.92435604562276	5.93365098574957	5.80193572887639	5.98852718009444	5.71476547385309	5.92946824206548	5.82060740150131	5.72888441702319	5.76448465299673	5.70016849168979	5.91469145680917	5.6410996744795
1011_s_at	6.44015676723436	6.13131249041936	5.85642004108435	5.98301416100835	6.20336231276023	6.40637368594003	6.29013228696678	6.11926362065803	6.2166150169708	5.51866026798149	6.3295140153906	6.07939491976661	6.2676720751091	6.45163557110626	6.19718753230897	6.46424110509621	5.86107052735929	6.32312268656651
1012_at	4.01569206725128	4.28192333281553	3.79794279596163	3.78795000436992	4.20791465516546	4.15024804211939	3.78855087760522	3.88848980116133	3.79191942842403	3.35159477028845	3.81659871017558	3.70603233303324	3.77665207136751	3.69053001412988	3.72734088257828	3.6418912364654	3.67518761073572	3.75525643518126
1013_at	3.37456516013842	3.7890825437245	2.59463922864988	3.28964479221091	4.36279358164752	3.70441812082534	3.1545516217647	3.26906022357592	3.01033375328862	2.52105772059818	3.69862974818588	3.14331235882591	3.14198709077424	3.15920143744713	3.21096302862177	3.29479360243616	2.72216250094407	3.42320401212218
1014_at	6.40392768305293	6.28485159161243	6.56131692532602	6.29565324288853	6.33212645063821	6.39351053877769	6.32890434299233	6.26838915281256	6.37823071310789	6.20064612253851	5.99299938670714	6.36041390487393	6.32336702592962	6.31549706331389	6.30282747829735	6.47095124098893	6.08957234644233	6.15693083491584
1015_s_at	4.82602331307326	4.81223164530821	5.18603202686676	4.77041115328022	4.70046422986268	4.82533619360667	4.90963660294261	4.77764640862314	4.75132028386365	4.86246528518757	4.70591359508844	4.9667113402624	4.9159573243248	4.691610457614	4.76196872487378	4.69740165098147	4.91759964894941	4.67590131260142
1016_s_at	2.58864669172283	2.88129125604253	2.93242776806332	2.86934732934854	2.76362824180524	2.78682716480668	2.90339955544516	2.75467595094007	2.79913959174385	2.8236647207137	2.78246235022536	2.74365749944273	2.78224002596135	2.64809352989864	2.85050335815043	2.75121787491906	2.81522229685866	2.77873958798857
1017_at	4.69512766147554	4.73229068265979	4.10409786967667	5.04676131946844	4.52729477632085	4.8185541722654	4.1932611139515	3.94769202227136	4.36691892575791	4.47614201690842	4.27503365234407	4.4115488029139	4.13173970345353	4.33474724683977	4.21451851235288	4.3664889783162	4.69641163054917	4.12511615396952
1018_at	5.44497017273803	5.38412197253928	5.98485312531212	5.56619782662048	5.32580075247976	5.67345957601474	6.04369778183868	5.87952884466648	6.12088424694661	6.39198235338871	5.87411671291611	5.92740917972821	6.14927359027863	6.09857116801656	6.20709990080692	6.27225103475414	6.39497851019149	5.95637965509759
1019_g_at	6.74336447697332	6.72485239448028	6.62935809541384	6.76546446777683	6.59153933038105	6.76577871709312	7.32930170819149	7.26983628892744	7.3756366217396	7.48770957773117	7.17042887804809	7.18181775748964	7.32260884734583	7.56601607112222	7.3170819952673	7.59310962240947	7.76237195360992	7.42748305380264
101_at	4.7454730148184	5.05897289757681	5.61475238859928	5.13202715225529	5.52153005591966	5.06911322363649	5.10815260408452	5.09988759992148	5.42574389549865	5.44487788015628	5.45290166708847	5.23062080752063	5.2804200343685	5.05170884811481	5.14696873351285	5.35137894851091	5.68952258783381	5.31094719098303
1020_s_at	4.7954054314833	4.90798747908195	4.70103909853659	4.86047146137361	5.05268006814066	4.94334078700571	5.27721150683586	5.32047540796669	5.24678854727888	5.19656098379706	5.56900938180221	5.41888435792596	5.39656074932847	5.52537125577024	5.25798457883482	5.25567428051489	5.21640184676626	5.68912893959616
1021_at	3.70913208375199	3.77928042397983	3.73614699653211	3.67194409450915	3.61444096553185	3.65426981341203	3.70168134139338	3.59817186948068	3.5450407383243	3.76144220848874	3.61452921163006	3.76451685224586	3.61851976903591	3.50912204944981	3.58267862159959	3.5018983951461	3.7492505307584	3.33822108112392
1022_f_at	2.86456375791679	2.87179307981048	2.76861049987524	2.93251547069765	2.75691527674198	2.73909757337658	2.79786930935635	2.99296008662858	3.02193324360408	2.9823500605973	2.83587756551917	2.91875629286637	2.74436925236265	2.65217868188345	2.87664844718902	2.86897178527718	3.10538726812002	2.70430387716762
